codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras,ferramentas_basicas_para_oficina
4180-890-3400,34.51,1,Chave combinada,FS130 FS460 SP10 SPA65,1,10,5.2,82041100,795711561970,Ferramenta Básica
4180-893-6400,2.5,1,Calibrador de folga da válvula,FS130 BR600 BT130 HT133,1,10,0.0,90173090,795711558253,
4221-893-5900,15.03,1,Tranca pistão,FS300 FS350 FS380 FS460,1,10,5.2,82055900,795711570682,
4223-890-1400,50.47,1,Jogo de ferramentas,FR220,5,10,5.2,82055900,795711571566,
4224-890-1200,111.72,1,Flange,TS800 KA120 BG50 HT133,1,10,5.0,73269090,795711567477,Ferramenta Básica
4224-890-3400,34.51,2,Chave combinada,TS420 TS800 TSA230,1,10,5.2,82041100,795711569327,
4224-893-2400,80.6,1,Luva de montagem WDR ZS,TS800,1,10,5.2,82055900,795711571498,
4224-893-2401,109.59,1,Luva de montagem retentor AS,TS800,1,10,5.2,82055900,795711571504,
4224-893-7200,90.57,1,Pino de montagem,TS800,1,10,5.2,82055900,795711571528,
4237-890-2200,16.48,1,Ferramenta de montagem,HS82R,1,10,5.2,82055900,795711597849,
4237-890-2201,690.09,1,Ferramenta de montagem,HS82R,1,10,5.2,82055900,795711597658,
4237-890-2202,96.91,1,Ferramenta de montagem,HS82R,1,10,5.2,82055900,795711598044,
4237-890-2203,215.18,1,Ferramenta de montagem embreagem,HS82R,1,10,5.2,82055900,795711598051,
4237-890-3400,34.51,1,Chave combinada,HS81 HS82R BR600 BT130,1,10,5.2,82041100,795711598068,
4237-893-4700,25.18,1,Pino de montagem,SPA65 HS82R,1,10,5.2,82055900,795711606626,
4238-890-1200,116.97,1,Flange,TS420,1,10,3.25,73079100,795711608606,
4238-890-2100,256.89,1,Placa tensora,TS420,1,10,5.0,73269090,795711607517,
4238-893-7000,194.54,1,Anel,TS420,1,10,6.5,73182900,795711596620,
4244-893-2600,12.14,1,Cinta tensora,SR430 SR450 BR430,5,10,5.2,84679100,795711609160,
4249-893-1100,94.19,1,Punção,SPA65,1,10,5.2,82055900,795711618810,
4249-893-9400,42.75,1,Pino de centragem,SPA65,1,10,5.2,82055900,795711618827,
4282-890-2700,92.91,1,Tranca pistão,BR600 FS130 HT131 BT130,1,10,5.2,82055900,795711619480,Ferramenta Básica
4852-710-8101,35.35,2,Proteção,FSA65 FSA85,1,10,5.2,84679900,795711629120,
4852-713-3401,84.69,1,Grampo,FSA65 FSA85,1,10,6.5,73182400,795711696580,
4864-690-0801,674.69,1,Batente de profundidade com tubo de asp.,TSA230,1,10,5.2,84679100,886661161720,
4866-701-8301,69.92,1,Bico chato reto,BGA 86,1,10,3.25,84149020,886661754571,
4900-007-1000,61.07,1,Jogo de reparo,RE250K,1,10,3.25,84249090,795711057602,
4900-007-1015,61.07,1,Jogo,RE900KM,5,10,3.25,84249090,795711627836,
4900-007-1016,179.35,1,Jogo,RE230 RE232,1,10,3.25,84249090,795711353421,
4900-007-1030,91.6,1,Jogo reparo bico do rotor,RE98 RE108,1,10,3.25,84249090,886661152735,
4900-500-0100,26.16,1,Conexão da mangueira,RE107 RE142,1,10,0.0,39174090,795711057633,
4900-500-1627,413.1,1,Bico turbo,RE920KM,5,10,3.25,84249090,795711621506,
4900-500-1630,161.1,1,Bico turbo verde,RE107-220v RE88 RE98 RE108,1,10,3.25,84249090,795711398415,
4900-500-1641,413.1,1,Bico turbo W12 040,RE230 RE232,1,10,3.25,84249090,795711353483,
4900-500-1698,86.9,1,Bico turbo turquesa,RE98,1,10,3.25,84249090,795711924812,
4900-500-2400,199.86,1,Cabeçote de aspiração de plástico,RE107 RE108 RE142,1,10,3.25,84249090,795711058142,
4900-500-3011,1000.96,1,Escova de limpeza,RE232,1,0,0.0,96035000,795711058203,
4900-500-3102,256.16,1,Cabeça da escova de limpeza,RE107 RE108 RE142,1,0,0.0,96035000,795711353513,
4900-500-5401,186.25,1,Filtro de água,Todas as lavadoras,1,10,0.0,84212990,795711175658,
4900-500-6320,71.76,1,Bico leque amarelo,RE88 RE98,1,10,3.25,84249090,795711924799,
4900-500-6321,224.1,1,Bico leque verde,RE107 RE108,1,10,3.25,84249090,795711398422,
4900-500-6322,71.76,1,Bico leque turquesa,RE88 RE107-120v,1,10,3.25,84249090,795711398439,
4900-500-6325,152.9,1,Bico leque rosa,RE108,1,10,3.25,84249090,795711619770,
4900-500-6351,127.86,1,Jogo de bicos,RE108K,1,10,3.25,84249090,795711629137,
4900-500-6700,36.09,1,Conexão,RE107 RE108 RE142,1,10,0.0,39174090,795711353575,
4900-500-6702,33.5,1,Conexão,RE142,1,10,0.0,39174090,795711212827,
4900-500-6705,56.6,1,Conexão,RE108 RE143,1,10,0.0,39174090,886661152544,
4900-501-0601,3.76,1,Mangueira do cabo,RE107 RE108 RE142,1,10,3.25,84249090,795711353599,
4900-502-0900,4.03,1,Capa de proteção,RE107 RE108 RE142,1,10,9.75,39269090,795711058371,
4900-502-0901,8.73,1,Capa de proteção,RE107 RE108 RE142,1,10,9.75,39269090,795711086350,
4900-502-0903,59.97,1,Capa de proteção,RE230 RE232,1,10,9.75,39269090,795711863494,
4900-502-1001,91.53,1,Bico,RE107 RE108 RE142,1,10,3.25,84249090,795711353612,
4900-502-1002,88.32,1,Bico,RE107 RE108 RE142,1,10,3.25,84249090,795711353629,
4900-502-1011,77.97,1,Bico,RE107 RE108 RE142,1,10,3.25,84249090,795711353636,
4900-502-1012,62.98,1,Bico,RE107 RE108 RE142,1,10,3.25,84249090,795711353643,
4900-502-1021,74.09,1,Bico 25035,RE232,1,10,3.25,84249090,886661355143,
4900-502-1033,74.09,1,Bico 2506,RE107 RE108 RE142,1,10,3.25,84249090,795711058548,
4900-502-3100,121.12,1,Escova,RE107 RE108 RE142,1,0,0.0,96035000,795711353674,
4910-500-0500,289.0,1,Mangueira de aspiração 3 m,RE90 RE110,1,0,6.5,40093210,886661861996,
4910-500-0801,219.01,1,Mangueira de alta pressão DN06 7 m,RE109,1,10,3.25,39173900,886661952267,
4910-500-0802,409.0,1,Mangueira de alta pressão DN06 9 m,RE90 RE110 RE143,1,0,6.5,40092210,886661952274,
4910-500-0803,865.51,1,Mangueira de alta pressão DN06 20 m,RE90 RE110,1,0,6.5,40092290,886661952281,
4910-500-1800,353.28,1,Dispositivo de jateamento com líquido,RE80X RE80 RE90.0 RE90Plus RE90 RE95 RE110 RE143 RE145 RE150,1,10,3.25,84249090,886661861989,
4910-500-1900,368.1,1,"Lança de jatear angular 1,08 m",RE90 RE110,1,10,3.25,84249090,886661861965,
4910-500-3901,349.0,1,Lavadora superficial RA 110,RE90 RE95 RE110 RE143 RE150,1,10,3.25,84249090,886661861958,
4910-500-5400,70.18,1,Filtro de água,RE90 RE110,1,10,5.2,84219999,886661952250,
4910-500-5900,319.05,1,Escova rotativa,RE90 RE110,1,10,3.25,84249090,886661861934,
4910-500-6000,182.84,1,Escova de limpeza,RE90 RE95 RE110,1,0,0.0,96035000,886661861903,
4910-500-6100,201.84,1,Kit de limpeza de veículos,RE90 RE95 RE110,1,10,3.25,84249090,886661861927,
4910-500-8000,278.99,1,Jogo de limpeza de tubos 15 m,RE90 RE110,6,10,3.25,84249090,886661862009,
4910-500-8600,375.2,1,Mangueira plana com carretel fixo,RE90 RE110,1,10,3.25,84249090,886661952298,
4910-500-9600,197.1,1,Bico de espuma,RE90 RE110,6,10,3.25,84249090,886661863921,
4910-500-9601,197.1,1,Bico de espuma,Lavadoras,6,10,3.25,84249090,886661408993,
4915-500-0818,398.16,1,"Mangueira de alta pressão DN 6, 9 m",RE142 RE143,1,0,6.5,40093290,795711287177,
4915-500-0828,221.23,1,"Mangueira de alta pressão DN 6, 7 m",RE107 RE108,1,0,6.5,40093210,886661240173,
4915-500-0838,189.64,1,"Mangueira de alta pressão DN 6, 6 m",RE88 RE98,1,0,6.5,40093290,886661240166,
4915-500-0929,99.0,1,Lança de jatear,RE107,1,10,3.25,84249090,795711378356,
4915-500-1102,87.65,1,Lança de pressão,RE142,1,10,3.25,84249090,795711618650,
4915-500-1103,87.65,1,Lança de pressão,RE107,1,10,3.25,84249090,795711398453,
4915-500-1104,87.65,1,Lança de pressão,RE88 RE98 RE109,1,10,3.25,84249090,886661284733,
4915-500-1306,240.35,1,Pistola,RE900KM,5,10,3.25,84249090,795711353834,
4915-500-1307,240.35,1,Pistola,RE920KM,5,10,3.25,84249090,795711628130,
4915-500-1314,255.98,1,Pistola,RE109,1,10,3.25,84249090,886661284740,
4915-500-1320,245.57,1,Pistola,RE107,1,10,3.25,84249090,795711378349,
4915-500-1321,248.24,1,Pistola,RE142 RE143,1,10,3.25,84249090,795711628482,
4915-500-1350,332.83,1,Pistola,RE800K RE800kM,5,10,3.25,84249090,795711353858,
4915-500-1398,242.85,1,Pistola,RE88 RE98,1,10,3.25,84249090,795711916756,
4915-500-1600,227.76,1,Bico turbo,RE800K REKM,5,10,3.25,84249090,795711628604,
4915-500-2201,70.73,1,Tubo angular,RE107 RE108 RE142,1,10,3.25,84249090,795711628369,
4915-500-5603,117.09,1,Conjunto de pulverização,RE107 RE108,1,10,3.25,84249090,795711378363,
4915-500-5605,75.9,1,Cj. bico/reserv.detergente,RE800K REKM,5,10,3.25,84249090,795711353926,
4915-500-5698,113.36,1,Conjunto de pulverização,RE88 RE98,1,10,3.25,84249090,795711916503,
4915-500-6347,83.35,1,Bico,RE 107K,1,10,3.25,84249090,795711406868,
4915-500-6702,160.55,1,Conexão,RE107 RE108 RE142,1,10,0.0,39174090,795711354022,
4915-501-1000,33.5,1,"Protetor de mangueira 5,5 m D1/2"" PE",Todas as lavadoras,5,10,0.0,39269090,795711640774,
4915-501-1001,51.45,1,"Protetor de mangueira 7,5 m D1/2"" PE",Todas as lavadoras,5,10,0.0,39269090,795711354046,
4915-502-0900,56.66,1,Capa de proteção,RE232,1,10,3.25,84249090,886661397020,
4915-502-1001,15.31,1,Bico,RE142,1,10,3.25,84249090,795711354053,
4915-507-0101,30.72,1,Frasco de detergentes,RE107 RE98 RE88,1,0,9.75,39233090,795711324544,
4915-507-0102,117.52,1,Frasco de detergentes,PULVERIZAÇÃO NILFISKI,1,0,9.75,39233090,886661397037,
4925-500-0840,607.96,1,Mangueira de alta pressão DN06 10 m,RE230 RE232,1,0,6.5,40093210,795711693473,
4925-500-0841,1017.45,1,Mangueira de alta pressão DN06 20 m,RE230,1,10,6.5,40091290,795711693480,
4925-500-1330,264.32,1,Pistola,RE230,1,10,3.25,84249090,795711827199,
4925-500-1800,980.61,1,Dispositivo de jateamento com líquido 05,RE232,1,10,3.25,84249090,795711693541,
4925-500-3811,224.1,1,Bico leque,RE230 RE232,1,10,3.25,84249090,886661066810,
4925-500-5900,1163.76,1,Escova rotativa,RE230,1,10,3.25,84249090,795711693329,
4925-500-6304,135.2,1,Bico NT0400,RE230,1,10,3.25,84249090,886661150830,
4925-500-6601,147.05,1,Cabo,RE230 RE232,1,10,3.25,84249090,795711924751,
4925-500-6701,131.36,1,Conexão,RE230 RE232,1,10,0.0,39174090,795711924164,
4925-500-8304,696.16,1,Bico do rotor com lança de jatear W12,RE230 RE232,1,10,3.25,84249090,795711693411,
4925-500-8401,372.9,1,"Lança jatear curva c/capa do bico,950 mm",RE230 RE232,1,10,3.25,84249090,795711826024,
4925-502-1015,88.27,1,Bico,RE232,1,10,3.25,84249090,886661397006,
4950-790-5400,62.15,1,Suporte para mangueira plana,RE110,1,10,3.25,84249090,886661832040,
5202-750-4700,188.52,1,"Guia para elo de tração 1,6 mm",USG,1,0,0.0,84669350,795711632472,
5202-750-7010,95.73,1,Rebolo perfilado,USG-Corrente 404,1,10,0.0,68042219,795711115845,
5202-753-3501,28.57,1,Peça de arraste,USG,1,10,5.0,73269090,795711633417,
5202-893-6000,24.28,1,Pedra de extração,USG (afiador da corrente),1,10,0.0,68042300,795711061470,
5203-200-0010,4399.01,1,USG Afiador completo 220 V/60 Hz,,3,0,0.0,84603900,886661621576,
5203-200-0011,4399.01,1,USG Afiador completo 127 V/60 Hz,,5,0,0.0,84603900,886661621583,
5203-750-1000,2011.55,1,USG Cj. afiador de corrente,Não acompanha motor elétrico e suporte giratório,1,0,0.0,84603900,795711095390,
5203-750-1410,1148.85,1,Suporte giratório,USG,1,0,0.0,84669350,795711642556,
5203-750-4700,478.47,1,Guia para elo de tração 2 mm,USG,1,0,0.0,84669350,795711639754,
5203-750-6100,17.81,1,Garfo tensor,USG,1,0,0.0,84669350,795711640361,
5203-750-7010,92.63,1,Rebolo perfilado,"USG-Corrente 3 8""",1,10,0.0,68042219,795711115883,
5203-750-7013,93.32,1,Rebolo perfilado,"USG- Corrente 3 8"" PM",1,10,0.0,68042219,795711115906,
5203-750-7015,114.84,1,Rebolo perfilado,USG-Rebaixar Limitador de Profundidade,1,10,0.0,68042219,795711115913,
5203-752-2500,158.91,1,Placa tensora,USG Afiador,1,10,5.0,73269090,795711642433,
5203-757-0901,1126.84,1,"Rebolo perfilado de diamante Ø125/12 R2,",KIT Resgate MS460,1,10,0.0,68042119,795711115203,
5605-007-1000,169.0,1,"Jogo de afiação 1/4"" Picco",MSA160C MSA200C,1,10,5.2,82031090,795711641245,
5605-007-1027,169.0,1,"Jogo de afiação 1/4"", 3/8"" P",MS170 MS180 MS210 MS230 MS250 HT75 HT131,1,10,5.2,82031090,795711087517,
5605-007-1028,169.0,1,Jogo de afiação,MS260,1,10,5.2,82031090,795711087524,
5605-007-1029,169.0,1,"Jogo de afiação 3/8""",MS260 MS310 MS361 MS381 MS460 MS650 MS660,1,10,5.2,82031090,795711087531,
5605-007-1030,169.0,1,"Jogo de afiação .404""",MS051 MS08,1,10,5.2,82031090,795711087548,
5605-750-4300,79.01,1,"Suporte de limas 1/4"" Picco","PM 1,1mm 1 4 - MSA160 200",1,10,5.2,82031010,795711641252,Ferramenta Básica
5605-750-4303,309.0,1,"Suporte de limas 2-in-1 3/8"" P",MS170 MS180 MS210 MS230 MS250 HT75 HT131,1,10,5.2,82031010,795711424237,
5605-750-4304,309.0,1,"Suporte de limas 2-in-1 .325""",MS260,1,10,5.2,82031010,795711424244,
5605-750-4305,309.0,1,"Suporte de limas 2-in-1 3/8""",MS260 MS310 MS361 MS381 MS460 MS650 MS660,1,10,5.2,82031010,795711424251,
5605-750-4306,309.0,1,"Suporte de limas 2-in-1 1/4""P",MSA160 MSA200,1,10,5.2,82031010,886661193011,
5605-750-4327,109.0,1,"Suporte para lima 1/4"", 3/8"" P","PM 1,3mm 3 8""",1,10,5.2,82031010,795711087555,Ferramenta Básica
5605-750-4328,109.0,1,"Suporte para lima .325""",MS260,1,10,5.2,82031010,795711087562,Ferramenta Básica
5605-750-4329,109.0,1,"Suporte para lima 3/8""","RM RS 1,6mm 3 8""",1,10,5.2,82031010,795711087579,Ferramenta Básica
5605-750-4330,109.0,1,"Suporte para lima .404""","RC 1,6mm 0.404""",1,10,5.2,82031010,795711072803,Ferramenta Básica
5605-750-4343,109.0,1,Suporte para lima,FS86 FS88 FS106 FS108 FS160 FS220 FR106 FR108,1,10,5.2,82031010,795711072483,Ferramenta Básica
5610-000-7500,519.0,1,Afiador de Aço para corrente STIHL FG 3,MS08 MS034 MS038 MS051 MS076,1,0,0.0,84603900,795711135799,
5614-000-7500,119.0,1,"Condução da lima FF 1 3/8""",MS260 MS310 MS361 MS381 MS460 MS650 MS660,1,10,5.0,73269090,795711692650,
5614-000-7501,119.0,1,"Condução da lima FF 1 .325""",MS260,1,10,5.0,73269090,795711692667,
5614-000-7502,119.0,1,"Condução da lima FF 1 3/8"" P",MSE170 MS210 MS230 MS250,1,10,5.0,73269090,795711692674,
5614-000-7503,119.0,1,"Condução da lima FF 1 3/8"" P M.",MS170 MS180 MS210 MS230 MS250 HT75 HT131,1,10,5.0,73269090,795711692681,
5614-000-7504,119.0,1,"Condução da lima FF 1 1/4"" P",MSA160C MSA200C,1,10,5.0,73269090,795711956875,
5614-000-7505,119.0,1,"Condução da lima FF 1 .404""",MS051 MS08,1,10,5.0,73269090,795711956882,
5805-012-7500,1546.72,1,Desrebitador NG 4,NG4,1,10,5.2,82055900,795711144074,
5805-012-7510,1823.29,1,Rebitador NG 5,MS08 MS034 MS036 MS038 MS051 MS076,1,10,5.2,82055900,795711144067,
5805-750-3400,37.96,1,"Elemento de rolos 1/4"", 0.325"", Picco",NG-5,1,10,6.5,73182900,795711315672,
5805-750-3402,37.96,1,"Elemento de rolos 3/8"", 0.404""",NG-5,1,10,6.5,73182900,795711315535,
5805-750-7400,146.86,1,Manivela,NG5,1,0,0.0,84831040,795711061746,
5805-751-8600,72.25,1,Rosca postiça,NG-5,1,10,6.5,73181900,795711061777,
5805-752-0700,49.51,1,Arruela guia para correntes 15 mm,NG5,1,10,9.75,39269090,795711061784,
5805-752-0701,29.0,1,"Arruela guia 1/4"" Picco - 1/2""",NG5,1,10,9.75,39269090,795711855413,
5805-753-7400,42.69,1,Rolamento axial,NG-5,1,0,7.8,84825090,795711061814,
5805-753-8400,14.3,1,Arruela axial,NG-5,1,10,6.5,73182200,795711061838,
5805-754-3800,98.11,1,"Parafuso de aperto 1/4"", 0.325"", Picco",NG-5,1,10,6.5,73181500,795711061883,
5805-754-3801,104.09,1,"Parafuso de aperto 3/8"", 0.404"", 1/2""",NG-5,1,10,6.5,73181500,795711061890,
5805-754-8400,108.84,1,Bucha,NG-5,1,10,9.75,39269090,795711061913,
5805-757-7105,145.81,1,"Matriz 1/4"" Picco - 404""",DESREBITADOR NG4,1,10,5.2,82079000,795711855406,
5805-757-9302,33.58,1,"Punção .325"" a 1/2""",NG-4,1,10,0.0,82073000,795711061975,
5805-757-9303,33.58,1,"Punção 1/4"" Picco",Desrebitador NG4,1,10,0.0,82073000,795711640965,
5805-985-1600,3.49,1,"Anel de segurança 1/2"" de aço",NG-5,1,10,6.5,73182400,795711062002,
5910-007-2201,1389.52,1,Jogo ferramentas de montagem,MS034 MS036 MS362 MS382 MS038 MS046 MS051 MS064 MS066 MS076 FS85 TS800 KA120 FR85 HS80 SP80 SP80K SR400 PC70 PC75 HT70K FS300 FS350 FS380 FS460,1,10,5.2,82055900,795711630409,Ferramenta Básica
5910-007-2222,1466.68,1,Jogo ferramentas de montagem,MS034 MS038 MS066 MS362 MS382,1,10,5.2,82055900,795711991487,Ferramenta Básica
5910-440-2000,262.86,1,Cabo de conexão,MDG1,1,10,5.0,85444200,795711842642,
5910-840-1400,347.81,1,Equipam. p. alimentação a partir da rede,MDG1,1,10,9.75,85044090,795711827960,
5910-850-1100,848.95,1,Indicador de rotação EDT 9,MS382 BT130 HT70K TS800 FS300 FS350 FS380 FS460 HS82R,1,0,9.75,90292010,886661402472,Ferramenta Básica
5910-850-1651,610.29,1,Assento,MS08 MS025 MS034 MS362 MS038 MS039 MS051 MS066 MS076 P835 P840 E14 KA120 HT133,1,10,5.0,73269090,795711989705,
5910-850-2000,606.15,1,Controlador de compressão,BT130 HT133,1,0,9.75,90322000,795711641641,
5910-850-2100,650.42,1,Placa tensora,HT70K MS460 TS800 FS300 FS350 FS380 HS82R MS382,1,10,5.2,82057000,795711641658,
5910-850-2600,3052.69,1,Aparelho para balanceamento,FS85 FS85R FS86 FS88 FS106 FS108 FS160 FS220 FS280 FR85 FR106 FR108 FR220,1,10,5.2,82055900,795711641665,
5910-850-3204,1212.79,1,Manômetro,RE143,1,10,0.0,90262010,886661085811,Ferramenta Básica
5910-850-3206,533.81,1,Manometro,RE230,1,10,0.0,90262010,795711924393,
5910-850-4207,164.44,1,Flange,MS034 MS038 MS066 MS194T MS462 MS651 MS661 FS86 FS106 FS220 FS300 FS350 FS380 FS460 FR106 BG86 PC70 PC75 BR430 HT70K HS82R HSBG SH56 KA120 BG50 HT133,1,10,3.25,84099190,886661640768,Ferramenta Básica
5910-850-4503,327.96,1,Dispositivo de teste do sistema de igniç,Motores a Combustão,1,0,3.25,90318099,795711635596,Ferramenta Básica
5910-850-4520,612.64,1,Dispositivo de teste ZAT3,Motores a Combustão,1,0,3.25,90318099,795711635602,
5910-850-6001,197.42,1,Suporte do relógio de medição,TS800,1,10,5.0,73269090,886661160280,
5910-851-6100,770.27,1,Disco de controle,TS800,1,0,3.25,90318099,795711638818,
5910-890-0105,178.41,1,"Elemento 1/2""",BT45,1,10,5.2,82042000,795711640743,
5910-890-0106,87.31,1,"Elemento 1/2"" TX50",FS460,1,10,5.2,82055900,795711640750,
5910-890-0301,3227.84,1,Chave momento de torque ADS 18,MSE170 MS362 MS382 BT130 HS45 HS82R BR430 HT70K TS800 FS300 FS350 FS380 FS460 FSA56 FSA66 RE88 KA120 HSA56 BGA56 MSA120 MSA140 BG50 HT133,1,10,5.2,82042000,795711641115,
5910-890-0302,4461.23,1,Torquímetro pequeno de 0-18 Nm.,MS025 MS034 E140 E160 HS80,1,10,5.2,82055900,795711641122,Ferramenta Básica
5910-890-0311,4907.93,1,Chave de torque BDS 80 E,HS45 HS82R MSE170 MS362 MS382 BT130 BR430 HT70K TS800 FS300 FS350 FS380 FS460 RE88 KA120 BG50 HT133 RE232,1,10,5.2,82042000,795711641139,
5910-890-0312,6157.62,1,Torquímetro grande de 0-80 Nm,MS025 MS034 E14 E160 HS80,1,10,5.2,82055900,795711631147,Ferramenta Básica
5910-890-0550,233.99,1,Arruela,FS75 FS80 FS85 FS120 FS250 FS300 FS350 FS380 FS460 HT70 HT75 HTKA KM85R MS360 MS361 MS382 MS460 MS650 MS660 TS420 TS800,1,10,0.0,84839000,795711640507,
5910-890-1100,734.61,1,Ferram. especial (Braçadeira),FS38,1,10,5.2,82055900,795711640514,
5910-890-1800,287.07,1,Luva roscada,MS460 TS800,1,10,5.2,82055900,795711641009,
5910-890-2100,180.6,1,Placa tensora,FS44 FS86 FS106 FS220 FR106,1,10,5.0,73269090,795711633455,
5910-890-2202,286.34,1,Ferramenta de montagem,HS80 PC70 PC75 HT70K FS300 FS350 FS380 FS460 KA120,1,10,5.2,82055900,795711641375,
5910-890-2204,130.77,1,Ferramenta de montagem,BT45 BT130 HS45 HS82R HSBG SH56 BG50 HT133,1,10,5.2,82055900,795711641917,
5910-890-2208,489.74,1,Ferramenta de montagem Ø 8,FS88 FS108 FR108 HS80 PC70 PC75 BT130 HT70K HS82R HSBG SH56 HT133,1,10,5.2,82055900,795711642228,
5910-890-2209,492.09,1,Ferramenta de montagem Ø 9,HS80 BT130 HT133,1,10,5.2,82055900,795711641764,
5910-890-2210,351.19,1,Ferramenta de montagem Ø 10,MS025 MS039 FS88 FS108 FS160 FS220 FS280 FS300 FS350 FS380 FS460 FR108 SR400 KA120,1,10,5.2,82055900,795711641771,
5910-890-2211,435.59,1,Ferramenta de montagem Ø 11,FS460,1,10,5.2,82055900,795711641788,
5910-890-2212,438.48,1,Ferramenta de montagem Ø 12,MS034 MS036 MS362 MS382 MS038 MS066 BR430 TS800,1,10,5.2,82055900,795711642105,
5910-890-2222,878.41,1,Ferramenta de montagem,MS260,1,10,5.2,82055900,795711990145,
5910-890-2301,38.95,1,Chave T20,MS025 PC70 PC75 BT130 HT70K FS300 FS350 FS380 FS460 RE88 RE90 RE110 MSA160T HSA66 KA120 BGA56 HT133 RE232,1,10,5.2,82055900,795711642983,Ferramenta Básica
5910-890-2304,32.97,1,Chave de parafuso,MS362 MS460,1,10,5.2,82054000,795711642990,
5910-890-2305,8.53,2,Chave de fenda,MS08 MS051 BR430 TS800 TSBG SH56,5,10,5.2,82054000,795711643003,
5910-890-2307,49.99,1,Chave de fenda,MSA160 FS130 HT130 BT130 FS460 HT133,1,10,5.2,82054000,795711829711,Ferramenta Básica
5910-890-2308,44.28,1,Chave de parafuso T10,RE88 RE90 RE110 RE143,1,10,5.2,82054000,795711854201,
5910-890-2310,32.24,1,Chave de parafuso T8,BG56 BG86 BR350 BR430 BR450 FS55 SH56 SH86 SR430 SR450 Linhas1141 Linhas1145 Linhas4139 Linhas4140 Linhas4144 Linhas4241 Linhas4244,1,10,5.2,82055900,795711970765,
5910-890-2313,33.33,1,Chave de parafuso T10,FS460,1,10,5.2,82054000,886661104338,Ferramenta Básica
5910-890-2400,47.0,1,Chave  T27 x 150mm,MS08 MS034 MS038 MS362 MS382 FS86 FS160 FS220 FS300 FS350 FS380 FS460 P835 PC70 PC75 BT130 HS45 HT70K FSA56 FSA65 SPA65 SPABG SH56 MSA160T HTA85 TSA230 HSA56 HSA66 KA120 MSA120 MSA140 BG50 HT133 HLA65,1,10,5.2,82055900,795711155568,
5910-890-2405,32.79,1,Chave IS,FS460,1,10,5.2,82054000,795711638825,
